Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-09-24,5725.0,5590.7,5621.3,5621.25128815,5621.2,5621.4,1906.76985869
2018-09-23,5765.5,5660.5,5716.45,5717.47910956,5716.4,5716.5,661.22855197
2018-09-22,5811.7,5524.62674465,5703.6,5701.7,5703.5,5703.7,877.82689385
2018-09-21,5779.8,5500.7,5724.7,5724.6,5724.6,5724.8,1842.45563785
2018-09-20,5590.00001083,5383.1,5511.9,5511.9,5511.8,5512.0,1030.10428809
2018-09-19,5607.10000086,5225.13800532,5467.8,5467.8,5467.7,5467.9,1952.95669842
2018-09-18,5465.0,5334.4,5439.95,5439.90541684,5439.9,5440.0,1160.23507514
2018-09-17,5627.80001961,5308.8,5357.7,5360.0,5357.6,5357.8,1990.0870172
2018-09-16,5609.8,5480.2,5586.75,5586.8,5586.7,5586.8,406.12014022
2018-09-15,5647.5999789,5556.8,5608.4,5608.4,5608.3,5608.5,293.47494839
2018-09-14,5636.3000118,5433.60241227,5608.1,5612.5,5608.0,5608.2,1429.89527603
2018-09-13,5587.1,5437.3,5548.3,5548.35475533,5548.2,5548.4,1917.36431654
2018-09-12,5462.0,5347.32717562,5443.1,5442.90431488,5443.0,5443.2,1450.27298722
2018-09-11,5524.5,5328.0,5435.75,5436.4,5435.7,5435.8,1597.55829412
2018-09-10,5513.9,5361.40809632,5420.15,5420.1,5420.1,5420.2,1182.36441153
2018-09-09,5572.7,5308.1,5412.55,5414.7,5412.5,5412.6,996.28685565
2018-09-08,5595.7,5288.49712813,5337.25,5337.2,5337.2,5337.3,1307.77556438
2018-09-07,5633.2,5435.7,5541.35,5541.3,5541.3,5541.4,2508.40112539
2018-09-06,5957.8,5408.27513289,5557.7,5556.56084496,5557.6,5557.8,5558.47579729
2018-09-05,6403.3,5931.03301971,5940.3,5935.88394264,5940.2,5940.4,2652.74812041
2018-09-04,6411.6,6240.58247686,6356.7,6355.4,6356.6,6356.8,1765.69462834
2018-09-03,6343.05096086,6205.5,6276.65,6276.69534474,6276.6,6276.7,1734.94838119
2018-09-02,6389.00001735,6140.00001667,6290.5,6290.4,6290.4,6290.6,1215.57446447
2018-09-01,6255.54617442,6023.3,6206.5,6208.49923686,6205.3,6207.7,1070.45918032
2018-08-31,6117.7,5910.0,6045.65,6045.6,6045.6,6045.7,1395.70672568
2018-08-30,6032.31028703,5829.89772177,5941.5,5941.5,5941.4,5941.6,1357.29368405
2018-08-29,6116.1,5918.9,6023.0,6023.13355097,6022.9,6023.1,1181.80878646
2018-08-28,6094.3,5775.58573219,6054.4,6054.44131465,6054.3,6054.5,2324.6293774
2018-08-27,5819.2,5723.09999112,5777.8,5777.42207289,5777.7,5777.9,1046.11204537
2018-08-26,5835.7,5636.8,5750.1,5751.8,5750.0,5750.2,625.23399665
2018-08-25,5844.5,5734.0,5778.6,5778.63450729,5778.5,5778.7,671.06572019
2018-08-24,5776.9745171,5554.0,5756.45,5760.9,5756.1,5756.8,1124.12918952
2018-08-23,5688.0,5459.5,5640.85,5643.7,5640.8,5640.9,2010.43389922
